load,timestamp,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service
25,2025-03-19T22:46:09.813605,0.0016383333333333345,0.0,0.011936833333333337,0.0058471666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.04080833333333334,0.005053,0.0,0.007348333333333337,0.0,0.010667166666666669,0.0034985000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.006734000000000002,0.0,0.007456166666666667,0.011576166666666669
25,2025-03-19T22:46:12.816550,0.0,0.0,0.011936833333333337,0.0058471666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028648666666666697,0.007348333333333337,0.024037833333333335,0.0,0.0,0.0,0.0,0.011895833333333333,0.009496000000000003,0.0,0.021925166666666666,0.006734000000000002,0.0,0.007456166666666667,0.0
25,2025-03-19T22:46:15.819482,0.0,0.0,0.0,0.0,0.0,0.0013483333333333335,0.015069666666666686,0.011580166666666667,0.08848216666666668,0.0,0.0,0.0,0.028648666666666697,0.0,0.024037833333333335,0.0,0.0,0.0,0.0,0.011895833333333333,0.009496000000000003,0.0,0.021925166666666666,0.0,0.0,0.0,0.0
25,2025-03-19T22:46:18.820518,0.0,0.0,0.0,0.0,0.0,0.0013483333333333335,0.015069666666666686,0.011580166666666667,0.08848216666666668,0.0014856666666666677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015873333333333332,0.28791033333333355,0.0,0.0,0.05157095786666667,0.0,0.0,0.0,0.0,0.0
25,2025-03-19T22:46:21.823436,0.0,0.006456666666666667,0.0,0.0,0.0010864999999999996,0.0,0.0,0.0,0.0,0.0014856666666666677,0.037870166666666615,0.0,0.0,0.0,0.0,0.0,0.0,0.0015873333333333332,0.28791033333333355,0.0,0.0,0.05156042933333334,0.0,0.014674833333333335,0.3692721666666668,0.0,0.0390485
25,2025-03-19T22:46:24.826372,0.14819225226666669,0.006456666666666667,0.028752666666666666,0.11877216666666658,0.0010864999999999996,0.0,0.0,0.0,0.0,0.0,0.037870166666666615,0.03963433333333334,0.0,0.0,0.04063833333333334,0.07695166666666668,0.02254,0.0,0.0,0.023423333333333334,0.0,0.0,0.0,0.014674833333333335,0.3692721666666668,0.011100500000000001,0.0390485
25,2025-03-19T22:46:27.829290,0.14822427020000004,0.0,0.028752666666666666,0.11877216666666658,0.0,0.0011021666666666658,0.013038999999999988,0.0,0.10377916666666666,0.0,0.0,0.03963433333333334,0.0,0.013651666666666666,0.04063833333333334,0.07695166666666668,0.02254,0.0,0.0,0.023423333333333334,0.02213566666666667,0.0,0.03707733333333334,0.0,0.0,0.011100500000000001,0.0
25,2025-03-19T22:46:30.832222,0.0,0.0,0.0,0.0,0.0,0.0011021666666666658,0.013038999999999988,0.01708266666666667,0.10377916666666666,0.0,0.0,0.0,0.0473428333333333,0.013651666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.02213566666666667,0.054077,0.03707733333333334,0.0,0.0,0.0,0.0
25,2025-03-19T22:46:33.835144,0.0,0.003765,0.0,0.0,0.0006423333333333351,0.0,0.0,0.01708266666666667,0.0,0.0,0.0,0.0,0.0473428333333333,0.0,0.0,0.0,0.0,0.0013401666666666679,0.2554356666666665,0.0,0.0,0.054077,0.0,0.0,0.0,0.0,0.0
25,2025-03-19T22:46:36.836526,0.11324766666666665,0.003765,0.0,0.11111883333333344,0.0006423333333333351,0.0,0.010711833333333367,0.0,0.0,0.0013216666666666657,0.04848416666666674,0.03171716666666667,0.0,0.0,0.0,0.04535000000000001,0.0,0.0013401666666666679,0.2554356666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
